"dataset","meta_path","epsilon","mu","output","match","sha256","reference"
"dblp_small","A-P-A","0.2","2","result","True","C939C6E4C0ECAED6B2F0AAACD58BE052B48E269976D078A59388C7842DB9D13C","data/results/pscan_on_fli/dblp_small/APA/result-0.2-2.txt"
"dblp_small","A-P-A","0.2","2","roles","True","6E7A225546402E462F0300060375B5788BC6591A91681429A126BA2EACD195A3","data/results/pscan_on_fli/dblp_small/APA/roles-0.2-2.txt"
"dblp_small","A-P-A","0.2","5","result","True","B06DBE8B9CC1CA449FD350988E5259AE7C4997AC39187E5C2FC44A25FCE5B9CC","data/results/pscan_on_fli/dblp_small/APA/result-0.2-5.txt"
"dblp_small","A-P-A","0.2","5","roles","True","19D1DAF875D1CDF4AF05B18048EC3B754EA0B6B0E3D1D6C454B9D8C4E2CF2CCA","data/results/pscan_on_fli/dblp_small/APA/roles-0.2-5.txt"
"dblp_small","A-P-A","0.4","3","result","True","7D7C9C3A0C010762BD1D8570B12465A05F845EC31CFC7A905766642C3B2BE316","data/results/pscan_on_fli/dblp_small/APA/result-0.4-3.txt"
"dblp_small","A-P-A","0.4","3","roles","True","7D18F8C34C557F27CD4CBC5940398D50D8DF8FBD2B8DD8AA0AB52A7BBD9DF871","data/results/pscan_on_fli/dblp_small/APA/roles-0.4-3.txt"
"dblp_small","A-P-A","0.5","5","result","True","21B05BE4585E6C7EF34E8A41BDDEBDC7015F566C9D7CE746260AE777764EF028","data/results/pscan_on_fli/dblp_small/APA/result-0.5-5.txt"
"dblp_small","A-P-A","0.5","5","roles","True","4D69B59C1F1C956F0DD38921F954446EA2BF35F39BBAE8DB6D4B1356F619DB09","data/results/pscan_on_fli/dblp_small/APA/roles-0.5-5.txt"
"dblp_small","A-P-A","0.6","5","result","True","D5CB3A2ED9994D56D5DEA6FD19638C17BB5FEE15F0BAD9A2470EF07AEFDE7281","data/results/pscan_on_fli/dblp_small/APA/result-0.6-5.txt"
"dblp_small","A-P-A","0.6","5","roles","True","159B9AE70EA6D4EFE767FC62CEECC9DFB6D984D17D62F892D38036293DBC1854","data/results/pscan_on_fli/dblp_small/APA/roles-0.6-5.txt"
"dblp_small","A-P-A","0.7","10","result","True","16BB204EFD323BB1852ABABA5A3812C48EEFB0BA0D14BED9D53D2F749C43ED31","data/results/pscan_on_fli/dblp_small/APA/result-0.7-10.txt"
"dblp_small","A-P-A","0.7","10","roles","True","22FAF985D00CC295CF370FEE8074AEC8FC9D56DC273334BCA217D97496512587","data/results/pscan_on_fli/dblp_small/APA/roles-0.7-10.txt"
